iteration,time_s,n_initial,n_visible,n_current_trapped,n_active_visible,n_active_inside,n_active_outside,n_newly_escaped,n_visible_after_escape,n_escaped_circular,n_lost_rectangular,n_remaining_trapped
5400,9.086557771848838e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5420,9.121945991056441e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5440,9.155052270519131e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5460,9.188004074163823e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5480,9.220997416318779e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5500,9.256201569863701e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5520,9.289530535198992e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5540,9.322481688534197e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5560,9.355447916648814e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5580,9.390415518046573e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5600,9.424006373207323e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5620,9.456956908303201e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5640,9.489912576365869e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5660,9.524627413195287e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5680,9.558480808638253e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5700,9.591430792021206e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5720,9.624382331982339e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5740,9.658838145774845e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5760,9.692954228793404e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5780,9.725903855904779e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5800,9.758853632258916e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5820,9.793046922640631e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5840,9.827425439915806e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5860,9.860375295357645e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5880,9.893324114379e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5900,9.927263865248797e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5920,9.961903093781597e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5940,9.99485482060662e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
5944,1.0001444420977705e-06,3200,3181,3180,3180,3180,0,0,1,20,0,3180
