iteration,time_s,n_initial,n_visible,n_current_trapped,n_active_visible,n_active_inside,n_active_outside,n_newly_escaped,n_visible_after_escape,n_escaped_circular,n_lost_rectangular,n_remaining_trapped
4260,4.3206602900352144e-09,500,195,111,111,111,0,1,84,160,229,111
4280,4.3418264908553754e-09,500,195,111,111,111,0,0,84,160,229,111
4300,4.366146017877302e-09,500,191,108,108,108,0,2,83,162,230,108
4320,4.3869697844850805e-09,500,190,107,107,107,0,0,83,162,231,107
4340,4.407169922627269e-09,500,190,106,106,106,0,1,84,163,231,106
4360,4.428418975472406e-09,500,188,104,104,104,0,0,84,163,233,104
4380,4.452849809376531e-09,500,186,101,101,101,0,1,85,164,235,101
4400,4.477175201074224e-09,500,182,100,100,100,0,0,82,164,236,100
4420,4.499428105107952e-09,500,182,97,97,97,0,3,85,167,236,97
4440,4.525652961542504e-09,500,181,97,97,97,0,0,84,167,236,97
4460,4.553569295811468e-09,500,180,96,96,96,0,1,84,168,236,96
4480,4.579959609587459e-09,500,179,95,95,95,0,0,84,168,237,95
4500,4.604432561296934e-09,500,178,95,95,95,0,0,83,168,237,95
4520,4.6294018123016095e-09,500,178,95,95,95,0,0,83,168,237,95
4540,4.655262836057658e-09,500,177,94,94,94,0,1,83,169,237,94
4560,4.679784761512917e-09,500,175,92,92,92,0,1,83,170,238,92
4580,4.704305405209917e-09,500,175,92,92,92,0,0,83,170,238,92
4600,4.726780199578207e-09,500,175,90,90,90,0,2,85,172,238,90
4620,4.753526542802003e-09,500,174,90,90,90,0,0,84,172,238,90
4640,4.780183759599906e-09,500,168,88,88,88,0,0,80,172,240,88
4660,4.807376101114759e-09,500,165,87,87,87,0,1,78,173,240,87
4680,4.834848606866225e-09,500,164,86,86,86,0,0,78,173,241,86
4700,4.8587614006048956e-09,500,163,85,85,85,0,0,78,173,242,85
4720,4.88439243208948e-09,500,162,82,82,82,0,3,80,176,242,82
4740,4.910341717205469e-09,500,159,82,82,82,0,0,77,176,242,82
4760,4.9375095075586334e-09,500,155,79,79,79,0,0,76,176,245,79
4780,4.9616422881686415e-09,500,154,79,79,79,0,0,75,176,245,79
4800,4.984429969810327e-09,500,152,78,78,78,0,0,74,176,246,78
4820,5.0057416192777815e-09,500,149,76,76,76,0,0,73,176,248,76
4840,5.027819041634106e-09,500,149,76,76,76,0,0,73,176,248,76
4860,5.050452023614753e-09,500,147,75,75,75,0,1,72,177,248,75
4880,5.072390360077502e-09,500,146,75,75,75,0,0,71,177,248,75
4900,5.096175418842546e-09,500,146,75,75,75,0,0,71,177,248,75
4920,5.118399189500394e-09,500,144,74,74,74,0,0,70,177,249,74
4940,5.141274316527613e-09,500,141,71,71,71,0,2,70,179,250,71
4960,5.168360213274986e-09,500,140,71,71,71,0,0,69,179,250,71
4980,5.1944595726918614e-09,500,139,69,69,69,0,1,70,180,251,69
5000,5.219875591146203e-09,500,138,68,68,68,0,1,70,181,251,68
